mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,porcentaje_missing,variable_label
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,intencion_migrar,631,13,0.020602218700475437,2.0602218700475436,Migration intention
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,izq_der,631,57,0.09033280507131537,9.033280507131538,Left-right ideology
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,voto_blanco_nulo,631,154,0.24405705229793978,24.405705229793977,Blank/null vote
6001,BUENOS AIRES,LA PLATA,intencion_migrar,91,0,0,0,Migration intention
6001,BUENOS AIRES,LA PLATA,izq_der,91,16,0.17582417582417584,17.582417582417584,Left-right ideology
6001,BUENOS AIRES,LA PLATA,voto_blanco_nulo,91,12,0.13186813186813187,13.186813186813188,Blank/null vote
6002,BUENOS AIRES,GENERAL PUEYRREDON,intencion_migrar,183,4,0.02185792349726776,2.185792349726776,Migration intention
6002,BUENOS AIRES,GENERAL PUEYRREDON,izq_der,183,21,0.11475409836065574,11.475409836065573,Left-right ideology
6002,BUENOS AIRES,GENERAL PUEYRREDON,voto_blanco_nulo,183,31,0.16939890710382513,16.939890710382514,Blank/null vote
6004,BUENOS AIRES,BAHIA BLANCA,intencion_migrar,90,0,0,0,Migration intention
6004,BUENOS AIRES,BAHIA BLANCA,izq_der,90,12,0.13333333333333333,13.333333333333334,Left-right ideology
6004,BUENOS AIRES,BAHIA BLANCA,voto_blanco_nulo,90,18,0.2,20,Blank/null vote
6010,BUENOS AIRES,PERGAMINO,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
6010,BUENOS AIRES,PERGAMINO,izq_der,90,16,0.17777777777777778,17.77777777777778,Left-right ideology
6010,BUENOS AIRES,PERGAMINO,voto_blanco_nulo,90,19,0.2111111111111111,21.11111111111111,Blank/null vote
6011,BUENOS AIRES,LUJAN,intencion_migrar,180,4,0.022222222222222223,2.2222222222222223,Migration intention
6011,BUENOS AIRES,LUJAN,izq_der,180,41,0.22777777777777777,22.77777777777778,Left-right ideology
6011,BUENOS AIRES,LUJAN,voto_blanco_nulo,180,46,0.25555555555555554,25.555555555555554,Blank/null vote
6015,BUENOS AIRES,BERISSO,intencion_migrar,90,1,0.011111111111111112,1.1111111111111112,Migration intention
6015,BUENOS AIRES,BERISSO,izq_der,90,15,0.16666666666666666,16.666666666666664,Left-right ideology
6015,BUENOS AIRES,BERISSO,voto_blanco_nulo,90,14,0.15555555555555556,15.555555555555555,Blank/null vote
6017,BUENOS AIRES,SAN VICENTE,intencion_migrar,91,2,0.02197802197802198,2.197802197802198,Migration intention
6017,BUENOS AIRES,SAN VICENTE,izq_der,91,8,0.08791208791208792,8.791208791208792,Left-right ideology
