mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
14005,CORDOBA,PUNILLA,edad,90,3,0.03333333333333333,Age,3.3333333333333335
6086,BUENOS AIRES,JOSE C. PAZ,edad,90,2,0.022222222222222223,Age,2.2222222222222223
90002,TUCUMAN,CRUZ ALTA,edad,91,2,0.02197802197802198,Age,2.197802197802198
22002,CHACO,COMANDANTE FERNANDEZ,edad,108,2,0.018518518518518517,Age,1.8518518518518516
14001,CORDOBA,CAPITAL,edad,273,5,0.018315018315018316,Age,1.8315018315018317
22004,CHACO,GENERAL GUEMES,edad,73,1,0.0136986301369863,Age,1.36986301369863
6088,BUENOS AIRES,MORON,edad,90,1,0.011111111111111112,Age,1.1111111111111112
18001,CORRIENTES,CAPITAL,edad,90,1,0.011111111111111112,Age,1.1111111111111112
82003,SANTA FE,GENERAL LOPEZ,edad,90,1,0.011111111111111112,Age,1.1111111111111112
6001,BUENOS AIRES,LA PLATA,edad,91,1,0.01098901098901099,Age,1.098901098901099
6029,BUENOS AIRES,ENSENADA,edad,91,1,0.01098901098901099,Age,1.098901098901099
22001,CHACO,SAN FERNANDO,edad,184,2,0.010869565217391304,Age,1.0869565217391304
82001,SANTA FE,ROSARIO,edad,364,3,0.008241758241758242,Age,0.8241758241758242
6083,BUENOS AIRES,TIGRE,edad,252,2,0.007936507936507936,Age,0.7936507936507936
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,edad,631,3,0.004754358161648178,Age,0.4754358161648178
6074,BUENOS AIRES,LA MATANZA,edad,453,2,0.004415011037527594,Age,0.44150110375275936
62001,RIO NEGRO,GENERAL ROCA,edad,273,0,0,Age,0
6084,BUENOS AIRES,AVELLANEDA,edad,185,0,0,Age,0
6002,BUENOS AIRES,GENERAL PUEYRREDON,edad,183,0,0,Age,0
50015,MENDOZA,TUPUNGATO,edad,182,0,0,Age,0
82004,SANTA FE,CASTELLANOS,edad,181,0,0,Age,0
90001,TUCUMAN,TAFI VIAJO,edad,181,0,0,Age,0
