mun_code,nom_prov_clean,nom_mun_clean,variable,observaciones,observaciones_missing,proporcion_missing,variable_label,porcentaje_missing
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,intencion_migrar,631,13,0.020602218700475437,Migration intention,2.0602218700475436
2001,CIUDAD AUTONOMA DE BUENOS AIRES,CITY OF BUENOS AIRES,voto_blanco_nulo,631,154,0.24405705229793978,Blank/null vote,24.405705229793977
6001,BUENOS AIRES,LA PLATA,intencion_migrar,91,0,0,Migration intention,0
6001,BUENOS AIRES,LA PLATA,voto_blanco_nulo,91,12,0.13186813186813187,Blank/null vote,13.186813186813188
6002,BUENOS AIRES,GENERAL PUEYRREDON,intencion_migrar,183,4,0.02185792349726776,Migration intention,2.185792349726776
6002,BUENOS AIRES,GENERAL PUEYRREDON,voto_blanco_nulo,183,31,0.16939890710382513,Blank/null vote,16.939890710382514
6004,BUENOS AIRES,BAHIA BLANCA,intencion_migrar,90,0,0,Migration intention,0
6004,BUENOS AIRES,BAHIA BLANCA,voto_blanco_nulo,90,18,0.2,Blank/null vote,20
6010,BUENOS AIRES,PERGAMINO,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6010,BUENOS AIRES,PERGAMINO,voto_blanco_nulo,90,19,0.2111111111111111,Blank/null vote,21.11111111111111
6011,BUENOS AIRES,LUJAN,intencion_migrar,180,4,0.022222222222222223,Migration intention,2.2222222222222223
6011,BUENOS AIRES,LUJAN,voto_blanco_nulo,180,46,0.25555555555555554,Blank/null vote,25.555555555555554
6015,BUENOS AIRES,BERISSO,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6015,BUENOS AIRES,BERISSO,voto_blanco_nulo,90,14,0.15555555555555556,Blank/null vote,15.555555555555555
6017,BUENOS AIRES,SAN VICENTE,intencion_migrar,91,2,0.02197802197802198,Migration intention,2.197802197802198
6017,BUENOS AIRES,SAN VICENTE,voto_blanco_nulo,91,17,0.18681318681318682,Blank/null vote,18.681318681318682
6025,BUENOS AIRES,MAGDALENA,intencion_migrar,90,1,0.011111111111111112,Migration intention,1.1111111111111112
6025,BUENOS AIRES,MAGDALENA,voto_blanco_nulo,90,22,0.24444444444444444,Blank/null vote,24.444444444444443
6029,BUENOS AIRES,ENSENADA,intencion_migrar,91,1,0.01098901098901099,Migration intention,1.098901098901099
6029,BUENOS AIRES,ENSENADA,voto_blanco_nulo,91,13,0.14285714285714285,Blank/null vote,14.285714285714285
