model,cohort,Baseline,Drought control: any month,Drought control: December,change_anymonth,change_december,pct_change_anymonth,pct_change_december
(1),1936-1955,-2.1121672520060812,-1.7489446127515487,-1.9817608621814233,0.3632226392545326,0.1304063898246579,17.19667980409947,6.1740560412913
(1),1956-1978,-4.284774019719794,-3.522167030619139,-4.064585468223781,0.7626069891006555,0.22018855149601357,17.798067893217077,5.138860310547088
(2),1936-1955,-1.8810842555794274,-1.6444973106699838,-1.7986702761122448,0.23658694490944354,0.08241397946718254,12.577158317481535,4.3811955377722676
(2),1956-1978,-2.4977744558094397,-2.0008466816832593,-2.3494182573868607,0.4969277741261804,0.14835619842257897,19.894821686978293,5.939535416319325
(3),1936-1955,-2.265939236177614,-1.910591304684011,-2.131482206213834,0.3553479314936028,0.13445702996377973,15.682147421262496,5.933832108869508
(3),1956-1978,-4.718151236714995,-3.9732392414292237,-4.480701174667669,0.7449119952857712,0.23745006204732633,15.788217840266075,5.0326928946145975
(4),1936-1955,-0.46780922036951983,-0.4207123569703842,-0.44800801809197355,0.0470968633991356,0.01980120227754628,10.067536369192137,4.232751603721154
(4),1956-1978,2.9770630826665574,3.0757572655233623,3.012378910428436,0.09869418285680487,0.035315827761878804,3.3151525552627668,1.1862640052036248
(5),1936-1955,-0.48066910470374635,-0.380039975800198,-0.4525087298283508,0.10062912890354836,0.028160374875395577,20.935218827007763,5.858578094540074
(5),1956-1978,2.524767725457931,2.736150431935484,2.5753757601664087,0.2113827064775533,0.050608034708477856,8.372362508682405,2.0044629927015882
(6),1936-1955,-0.30614270364358853,-0.2751669354302601,-0.2808993552581592,0.030975768213328425,0.025243348385429354,10.118081484440808,8.245614899520085
(6),1956-1978,3.523428078746105,3.5873641239113736,3.570730781492484,0.06393604516526841,0.0473027027463786,1.814597708150795,1.342519321785401
