specification,model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Baseline,(1),share_1936_1955:post,-2.1121672520060812,0.8426522071164346,-2.50657060429942,0.012700923366931294,-3.7701875427559526,-0.4541469612562099
Baseline,(1),post:share_1956_1978,-4.284774019719794,2.2382043119239317,-1.9143802006335418,0.05648901851420671,-8.688712124519611,0.11916408508002174
Baseline,(2),share_1936_1955:post,-1.8810842555794274,0.5491686089390452,-3.425330991175094,6.965079077177572e-4,-2.9616400162765615,-0.8005284948822933
Baseline,(2),post:share_1956_1978,-2.4977744558094397,2.2848880799158646,-1.0931714676814341,0.27516454775769195,-6.993568529092572,1.9980196174736928
Baseline,(3),share_1936_1955:post,-2.265939236177614,0.9136809259069589,-2.480011535677343,0.013666950061930937,-4.063717135091423,-0.4681613372638047
Baseline,(3),post:share_1956_1978,-4.718151236714995,2.4478036968192765,-1.9275039264160978,0.0548273894068106,-9.534501520762987,0.09819904733299634
Baseline,(4),share_1936_1955:post,-0.46780922036951983,0.361228736414309,-1.2950498485064295,0.19626358838253802,-1.178570516096007,0.24295207535696733
Baseline,(4),post:share_1956_1978,2.9770630826665574,1.365002689958266,2.180994297350124,0.029932723702712594,0.29125494288411513,5.662871222449
Baseline,(5),share_1936_1955:post,-0.48066910470374635,0.36548034043306515,-1.315170890270573,0.1894213215151046,-1.1997959463479901,0.23845773694049732
Baseline,(5),post:share_1956_1978,2.524767725457931,1.3204211580924878,1.9120927516075787,0.05678290615091068,-0.07332085007021849,5.12285630098608
Baseline,(6),share_1936_1955:post,-0.30614270364358853,0.3409912070180073,-0.8978023401859203,0.36998544257529375,-0.9770842088439958,0.36479880155681876
Baseline,(6),post:share_1956_1978,3.523428078746105,1.3001977115536731,2.7099171513967515,0.007103333027834399,0.96513158401602706,6.081724573476183
Drought control: any month,(1),share_1936_1955:post,-1.7489446127515487,0.8146186960889616,-2.14694877633959,0.032570328727866735,-3.3518055747629765,-0.14608365074012086
Drought control: any month,(1),post:share_1956_1978,-3.522167030619139,2.1290591071006912,-1.6543303184360876,0.09906927798267959,-7.711348723809653,0.6670146625713755
Drought control: any month,(2),share_1936_1955:post,-1.6444973106699838,0.48560107087630505,-3.386519118877477,7.987756079740157e-4,-2.5999762400825897,-0.6890183812573781
Drought control: any month,(2),post:share_1956_1978,-2.0008466816832593,1.9247109563901599,-1.0395569657045511,0.2993532903759291,-5.7879486349835805,1.7862552716170614
Drought control: any month,(3),share_1936_1955:post,-1.910591304684011,0.8922429720199395,-2.1413352243712755,0.03302390489119984,-3.6661874324748656,-0.15499517689315678
Drought control: any month,(3),post:share_1956_1978,-3.9732392414292237,2.370904273757194,-1.675832839565806,0.09477593546825402,-8.638280595521167,0.6918021126627183
Drought control: any month,(4),share_1936_1955:post,-0.4207123569703842,0.35542860408837035,-1.1836761367292272,0.23744523463776976,-1.1200611897563788,0.27863647581561035
Drought control: any month,(4),post:share_1956_1978,3.0757572655233623,1.4287270061445265,2.1527956371619297,0.0321036118673907,0.26456381450731214,5.886950716539412
Drought control: any month,(5),share_1936_1955:post,-0.380039975800198,0.3547651877102634,-1.0712437098269532,0.28489047770417497,-1.0780834565004476,0.3180035049000516
Drought control: any month,(5),post:share_1956_1978,2.736150431935484,1.3471041521638418,2.0311350295672606,0.04309148488069268,0.08555983337264017,5.386741030498328
Drought control: any month,(6),share_1936_1955:post,-0.2751669354302601,0.3370462790959265,-0.8164069817603447,0.4148922966321028,-0.9383463170818094,0.3880124462212892
Drought control: any month,(6),post:share_1956_1978,3.5873641239113736,1.3488969887541522,2.6594796739999254,0.008231553907576636,0.9332459021848694,6.241482345637878
Drought control: December,(1),share_1936_1955:post,-1.9817608621814233,0.7060634289373663,-2.806774548802218,0.005319797235030741,-3.371026186413612,-0.5924955379492343
Drought control: December,(1),post:share_1956_1978,-4.064585468223781,2.130040268320522,-1.908220012867923,0.05728338323176044,-8.255697714965615,0.12652677851805372
Drought control: December,(2),share_1936_1955:post,-1.7986702761122448,0.5144960408235497,-3.495984678974648,5.410247507273704e-4,-2.8110035590393125,-0.7863369931851771
Drought control: December,(2),post:share_1956_1978,-2.3494182573868607,2.2275201398389557,-1.0547236881803088,0.2923704027860287,-6.732333959400393,2.0334974446266707
Drought control: December,(3),share_1936_1955:post,-2.131482206213834,0.7890857682168032,-2.701204725857132,0.007287653615804358,-3.684104039748806,-0.5788603726788621
Drought control: December,(3),post:share_1956_1978,-4.480701174667669,2.340089934111334,-1.9147559712781925,0.0564408620007967,-9.085111582863524,0.12370923352818686
Drought control: December,(4),share_1936_1955:post,-0.44800801809197355,0.35816035109090855,-1.250858775203344,0.2119262122236685,-1.1527318940110098,0.25671585782706263
Drought control: December,(4),post:share_1956_1978,3.012378910428436,1.356157797342914,2.2212598831275496,0.02705320584664589,0.34397416827778926,5.680783652579083
Drought control: December,(5),share_1936_1955:post,-0.4525087298283508,0.36356236247262635,-1.2446522977537904,0.21419670629362714,-1.1678617175044184,0.2628442578477169
Drought control: December,(5),post:share_1956_1978,2.5753757601664087,1.3040079589236415,1.9749693570062132,0.04915574663567435,0.009582142188054199,5.141169378144763
Drought control: December,(6),share_1936_1955:post,-0.2808993552581592,0.33849751310483467,-0.8298417104505078,0.40726480543356935,-0.9469342156150096,0.38513550509869127
Drought control: December,(6),post:share_1956_1978,3.570730781492484,1.3045160701665286,2.7372072013161635,0.00655288458881966,1.0039373930945539,6.137524169890414
