model,cohort,Baseline: same matched sample,Continuous drought control,Severe drought area control,Excluding 2023
(1),1936-1955,-2.1121672520060812,-1.7294034767339488,-1.7973410944621624,-1.4614904422331108
(1),1956-1978,-4.284774019719794,-3.5645542927412155,-3.8682147732844356,-0.47933707059897745
(2),1936-1955,-1.8810842555794274,-1.6940515582424094,-1.5266846615684568,-1.2492014845900514
(2),1956-1978,-2.4977744558094397,-2.2811042589548602,-2.7067349114911075,0.09155023678044572
(3),1936-1955,-2.265939236177614,-1.8986101009909264,-1.960858580233932,-1.768837395500884
(3),1956-1978,-4.718151236714995,-4.008098442317575,-4.289412700502043,-0.9603338927455711
(4),1936-1955,-0.46780922036951983,-0.4800395335565399,-0.49171122524063843,-0.41656037978779725
(4),1956-1978,2.9770630826665574,2.954050160876465,2.945437371464278,2.9898349487874913
(5),1936-1955,-0.48066910470374635,-0.4905505459282471,-0.49132022035758005,-0.40662134385112403
(5),1956-1978,2.524767725457931,2.5133204552971313,2.531047817247411,3.4957715988400775
(6),1936-1955,-0.30614270364358853,-0.3327614460800606,-0.3284635853674624,-0.2509165398375499
(6),1956-1978,3.523428078746105,3.473618571999984,3.4944379081873533,3.5323223136702726
