specification,model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Baseline: same matched sample,(1),share_1936_1955:post,-2.1121672520060812,0.8426522071164346,-2.50657060429942,0.012700923366931294,-3.7701875427559526,-0.4541469612562099
Baseline: same matched sample,(1),post:share_1956_1978,-4.284774019719794,2.2382043119239317,-1.9143802006335418,0.05648901851420671,-8.688712124519611,0.11916408508002174
Baseline: same matched sample,(2),share_1936_1955:post,-1.8810842555794274,0.5491686089390452,-3.425330991175094,6.965079077177572e-4,-2.9616400162765615,-0.8005284948822933
Baseline: same matched sample,(2),post:share_1956_1978,-2.4977744558094397,2.2848880799158646,-1.0931714676814341,0.27516454775769195,-6.993568529092572,1.9980196174736928
Baseline: same matched sample,(3),share_1936_1955:post,-2.265939236177614,0.9136809259069589,-2.480011535677343,0.013666950061930937,-4.063717135091423,-0.4681613372638047
Baseline: same matched sample,(3),post:share_1956_1978,-4.718151236714995,2.4478036968192765,-1.9275039264160978,0.0548273894068106,-9.534501520762987,0.09819904733299634
Baseline: same matched sample,(4),share_1936_1955:post,-0.46780922036951983,0.361228736414309,-1.2950498485064295,0.19626358838253802,-1.178570516096007,0.24295207535696733
Baseline: same matched sample,(4),post:share_1956_1978,2.9770630826665574,1.365002689958266,2.180994297350124,0.029932723702712594,0.29125494288411513,5.662871222449
Baseline: same matched sample,(5),share_1936_1955:post,-0.48066910470374635,0.36548034043306515,-1.315170890270573,0.1894213215151046,-1.1997959463479901,0.23845773694049732
Baseline: same matched sample,(5),post:share_1956_1978,2.524767725457931,1.3204211580924878,1.9120927516075787,0.05678290615091068,-0.07332085007021849,5.12285630098608
Baseline: same matched sample,(6),share_1936_1955:post,-0.30614270364358853,0.3409912070180073,-0.8978023401859203,0.36998544257529375,-0.9770842088439958,0.36479880155681876
Baseline: same matched sample,(6),post:share_1956_1978,3.523428078746105,1.3001977115536731,2.7099171513967515,0.007103333027834399,0.96513158401602706,6.081724573476183
Continuous drought control,(1),share_1936_1955:post,-1.7294034767339488,0.8174725944188104,-2.1155491799250887,0.03517786860177739,-3.337879829411496,-0.12092712405640182
Continuous drought control,(1),post:share_1956_1978,-3.5645542927412155,2.3233222132526645,-1.534248789258903,0.12598510468671453,-8.135972179018164,1.0068635935357335
Continuous drought control,(2),share_1936_1955:post,-1.6940515582424094,0.5668596936417564,-2.9884847648261528,0.0030270434156856444,-2.809416671071718,-0.5786864454131009
Continuous drought control,(2),post:share_1956_1978,-2.2811042589548602,2.5960835435399017,-0.8786713604156398,0.38025784585367783,-7.389213103053839,2.8270045851441186
Continuous drought control,(3),share_1936_1955:post,-1.8986101009909264,0.8725437298601829,-2.175948363407713,0.030311607027781462,-3.6154455835981163,-0.18177461838373654
Continuous drought control,(3),post:share_1956_1978,-4.008098442317575,2.485227523933911,-1.6127692147771986,0.10780889567213167,-8.898084639485539,0.8818877548503892
Continuous drought control,(4),share_1936_1955:post,-0.4800395335565399,0.3612737903352606,-1.3287416535560612,0.18490730117095616,-1.1908894783300297,0.23081041121694984
Continuous drought control,(4),post:share_1956_1978,2.954050160876465,1.368185790476964,2.15910016127755,0.031606827307656384,0.2619788852439924,5.646121436508938
Continuous drought control,(5),share_1936_1955:post,-0.4905505459282471,0.36724374503488705,-1.3357628347942216,0.18260348445342206,-1.2131470997336058,0.2320460078771116
Continuous drought control,(5),post:share_1956_1978,2.5133204552971313,1.3288375918362025,1.8913676665514838,0.059504341643684865,-0.10132847313222682,5.127969383726489
Continuous drought control,(6),share_1936_1955:post,-0.3327614460800606,0.3409301305722341,-0.9760400042129959,0.32980322281064123,-1.0035827759750173,0.3380598838148961
Continuous drought control,(6),post:share_1956_1978,3.473618571999984,1.3064369987633095,2.6588488961106864,0.008246630375373614,0.9030455238994546,6.044191620100513
Severe drought area control,(1),share_1936_1955:post,-1.7973410944621624,0.8386890228772825,-2.143036388262292,0.03288588018650304,-3.44756334014789,-0.147118848776435
Severe drought area control,(1),post:share_1956_1978,-3.8682147732844356,2.4919736969439032,-1.552269503497698,0.12161475481702584,-8.771474883035804,1.0350453364669328
Severe drought area control,(2),share_1936_1955:post,-1.5266846615684568,0.6001352982596815,-2.5439007936971123,0.011445840100369203,-2.7075235572675544,-0.3458457658693592
Severe drought area control,(2),post:share_1956_1978,-2.7067349114911075,2.8578437248626307,-0.9471248857812242,0.34431046693041045,-8.329888620218895,2.9164187972366795
Severe drought area control,(3),share_1936_1955:post,-1.960858580233932,0.8901680856111772,-2.2027958673531116,0.028342365024938764,-3.7123721176776945,-0.20934504279016952
Severe drought area control,(3),post:share_1956_1978,-4.289412700502043,2.6260303456871643,-1.6334208428119341,0.10339243224950923,-9.45644550538093,0.8776201043768461
Severe drought area control,(4),share_1936_1955:post,-0.49171122524063843,0.3623023697403613,-1.357184678623593,0.1757066573017727,-1.2045850245888885,0.2211625741076116
Severe drought area control,(4),post:share_1956_1978,2.945437371464278,1.3769956169110735,2.1390317698117225,0.033211590632621114,0.23603169515928757,5.654843047769269
Severe drought area control,(5),share_1936_1955:post,-0.49132022035758005,0.3667109971506396,-1.3398022534779692,0.1812877817911239,-1.212868528167169,0.23022808745200896
Severe drought area control,(5),post:share_1956_1978,2.531047817247411,1.3207199001610752,1.9164152951270925,0.05622862341708438,-0.06762856948829832,5.129724203983121
Severe drought area control,(6),share_1936_1955:post,-0.3284635853674624,0.341994345372843,-0.9604357200975667,0.33758206550214065,-1.001378886794475,0.3444517160595502
Severe drought area control,(6),post:share_1956_1978,3.4944379081873533,1.3128205076520967,2.6617788858561884,0.008176809136404995,0.9113045330925948,6.077571283282111
