anio,tipo_eleccion,fecha_eleccion,fecha_clima,anio_clima,mes_clima,yyyymm,archivo,nombre
2011,PASO,2011-08-14,2011-07-01,2011,7,201107,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc
2011,GENERALES,2011-10-23,2011-09-01,2011,9,201109,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201109.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201109.nc
2013,PASO,2013-08-11,2013-07-01,2013,7,201307,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201307.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201307.nc
2013,GENERALES,2013-10-27,2013-09-01,2013,9,201309,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201309.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201309.nc
2015,PASO,2015-08-09,2015-07-01,2015,7,201507,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201507.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201507.nc
2015,GENERALES,2015-10-25,2015-09-01,2015,9,201509,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201509.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201509.nc
2017,PASO,2017-08-13,2017-07-01,2017,7,201707,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201707.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201707.nc
2017,GENERALES,2017-10-22,2017-09-01,2017,9,201709,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201709.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201709.nc
2019,PASO,2019-08-11,2019-07-01,2019,7,201907,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201907.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201907.nc
2019,GENERALES,2019-10-27,2019-09-01,2019,9,201909,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_201909.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201909.nc
2021,PASO,2021-09-12,2021-08-01,2021,8,202108,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_202108.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_202108.nc
2021,GENERALES,2021-11-14,2021-10-01,2021,10,202110,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_202110.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_202110.nc
2023,PASO,2023-08-13,2023-07-01,2023,7,202307,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_202307.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_202307.nc
2023,GENERALES,2023-10-22,2023-09-01,2023,9,202309,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_202309.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_202309.nc
2025,GENERALES,2025-10-26,2025-09-01,2025,9,202509,Data Raw/Clima/Drought/SPEI12_genlogistic_global_era5_moda_ref1991to2020_202509.nc,SPEI12_genlogistic_global_era5_moda_ref1991to2020_202509.nc
