anio,tipo_eleccion,fecha_clima,municipalities,nonmissing_main,missing_main,mean_drought_pct
2011,GENERALES,2011-09-01,312,312,0,27.165119370441133
2011,PASO,2011-07-01,312,312,0,9.31527124914096
2013,GENERALES,2013-09-01,312,312,0,21.967544068451016
2013,PASO,2013-07-01,312,312,0,16.99675714771729
2015,GENERALES,2015-09-01,312,312,0,0.8904667904761692
2015,PASO,2015-07-01,312,312,0,0.9298975185419505
2017,GENERALES,2017-09-01,312,312,0,1.0993452684346767
2017,PASO,2017-07-01,312,312,0,0.43992885255601066
2019,GENERALES,2019-09-01,312,312,0,2.6950537282316827
2019,PASO,2019-07-01,312,312,0,1.2089775011050874
2021,GENERALES,2021-10-01,312,312,0,39.33508467652689
2021,PASO,2021-08-01,312,312,0,58.93288132680867
2023,GENERALES,2023-09-01,312,312,0,81.4956849822267
2023,PASO,2023-07-01,312,312,0,86.11284215033102
2025,GENERALES,2025-09-01,312,312,0,16.344419256048962
