mun_code,mun_name_drought,anio,tipo_eleccion,fecha_eleccion,fecha_clima,archivo_clima,drought_spei12_pre_election_pct_15,drought_spei12_pre_election_pct_20,spei12_pre_election_mean
006072,Saavedra,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.6635794639587402
006073,"Castelli, Maipú, Tordillo",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,62.094664573669434,0,-1.5332883596420288
066013,Chicoana,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.09562820941209793
018016,"General Alvear, San Martín",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.48870527744293213
006071,"General La Madrid, Laprida",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.3685486912727356
070012,"9 de Julio, San Martín",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,0.2526280879974365
006070,Monte,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,100,0,-1.565360426902771
006069,Mar Chiquita,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.5615217685699463
062007,"Conesa, Pichi Mahuida",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0.1616181223653257,0,-0.9201934337615967
046006,"Chamical, General Belgrano",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.7896409034729004
078004,"Lago Buenos Aires, Magallanes, Río Chico",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.10154663771390915
082019,Garay,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-1.0490466356277466
086015,Avellaneda,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.1887231469154358
066012,"Cafayate, La Vina",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,0.530494749546051
074005,Chacabuco,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.865298867225647
042007,"Hucal, Utracán",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.5387072563171387
070011,Sarmiento,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.6690593361854553
006068,Carlos Casares,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,32.05544650554657,0,-1.3920820951461792
026006,"Cushamen, Languiñeo",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.5690833926200867
018015,"Itatí, San Cosme",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.4246336817741394
086014,"Figueroa, Sarmiento",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.143488809466362
006067,San Andrés de Giles,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,60.46029329299927,0,-1.4777796268463135
010007,"Antofagasta de la Sierra, Tinogasta",2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,0.695275068283081
018014,Saladas,2011,PASO,2011-08-14,2011-07-01,SPEI12_genlogistic_global_era5_moda_ref1991to2020_201107.nc,0,0,-0.672866702079773
