model,version,term,estimate,std.error,p.value
(1),Baseline,post:share_1956_1978,-4.284774019719794,2.2382043119239317,0.05648901851420671
(1),ERA5 SPEI-12 control,post:share_1956_1978,-4.273385551598292,2.242296037162363,0.057596958653078505
(1),Baseline,share_1936_1955:post,-2.1121672520060812,0.8426522071164346,0.012700923366931294
(1),ERA5 SPEI-12 control,share_1936_1955:post,-2.109613608017717,0.8434092738577663,0.012887907825076114
(2),Baseline,post:share_1956_1978,-2.4977744558094397,2.2848880799158646,0.27516454775769195
(2),ERA5 SPEI-12 control,post:share_1956_1978,-2.5283775694320667,2.319017383816374,0.27643397797064334
(2),Baseline,share_1936_1955:post,-1.8810842555794274,0.5491686089390452,6.965079077177572e-4
(2),ERA5 SPEI-12 control,share_1936_1955:post,-1.9015958384636944,0.5506195142334666,6.299610701755715e-4
(3),Baseline,post:share_1956_1978,-4.718151236714995,2.4478036968192765,0.0548273894068106
(3),ERA5 SPEI-12 control,post:share_1956_1978,-4.853523102276062,2.4925747038536183,0.052411492486458294
(3),Baseline,share_1936_1955:post,-2.265939236177614,0.9136809259069589,0.013666950061930937
(3),ERA5 SPEI-12 control,share_1936_1955:post,-2.275089718540832,0.9095387639307626,0.012885285630264993
(4),Baseline,post:share_1956_1978,2.9770630826665574,1.365002689958266,0.029932723702712594
(4),ERA5 SPEI-12 control,post:share_1956_1978,3.1261302007883747,1.428660131455417,0.02940205412910034
(4),Baseline,share_1936_1955:post,-0.46780922036951983,0.361228736414309,0.19626358838253802
(4),ERA5 SPEI-12 control,share_1936_1955:post,-0.43438379861890164,0.36994766524153055,0.24122272915360107
(5),Baseline,post:share_1956_1978,2.524767725457931,1.3204211580924878,0.05678290615091068
(5),ERA5 SPEI-12 control,post:share_1956_1978,2.664526792620464,1.3567717127789147,0.05043536119204153
(5),Baseline,share_1936_1955:post,-0.48066910470374635,0.36548034043306515,0.1894213215151046
(5),ERA5 SPEI-12 control,share_1936_1955:post,-0.38699629332638663,0.3717728274406478,0.2987080879458902
(6),Baseline,post:share_1956_1978,3.523428078746105,1.3001977115536731,0.007103333027834399
(6),ERA5 SPEI-12 control,post:share_1956_1978,3.581157006474041,1.3248688297262927,0.007248735919723621
(6),Baseline,share_1936_1955:post,-0.30614270364358853,0.3409912070180073,0.36998544257529375
(6),ERA5 SPEI-12 control,share_1936_1955:post,-0.30117557380564813,0.344697691944523,0.38293495584523396
