variable_original,variable_key,threshold_original,threshold_key,measure_original,measure_key,climate_year,n_rows
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1970,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1971,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1972,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1973,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1974,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1975,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1976,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1977,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1978,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1979,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1980,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1981,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1982,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1983,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1984,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1985,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1986,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1987,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1988,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1989,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1990,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1991,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1992,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1993,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1994,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1995,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1996,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1997,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1998,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,1999,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2000,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2001,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2002,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2003,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2004,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2005,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2006,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2007,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2008,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2009,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2010,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2011,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2012,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2013,525
SPEI1,SPEI1,10sd,10SD,area_affected,AREAAFFECTED,2014,525
