nom_prov_clean,nom_mun_clean,mun_code,name_censo,province_code,idnum,year,prov_nom,municipio_nom,estratopri,upm,edad,anios_educ,wt,hombre,reuniones_comunidad,izq_der,voto_anterior,identifica_partido,interes_pol_mucho,interes_pol_algo,interes_pol_poco,interes_pol_nada,intencion_voto,voto_blanco_nulo,intencion_migrar,rural,sit_lab_mig,desempleado,ocupado,estudiante,etnia_arg,etnia_minoritaria,estado_civil,en_pareja,postularia_cargo,strata,nivel_educ,intencion_migrar_esp,migracion_probable,nivel_educ7,primaria_completa_o_mas,secundaria_completa_o_mas,superior_incompleta_o_mas,superior_completa,share_1936_1955,share_1956_1978,post
CHACO,LIBERTAD,022008,"GENERAL DONOVAN, LIBERTAD, PRESIDENCIA DE LA PLAZA, TAPENAGA",22,1476,2012,Chaco,Laguna Blanca,1703,128,36,7,1,1,0,10,1,0,0,1,0,0,0,NA,0,1,1,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,3,1,0,0,0,0.431654676258993,0,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1484,2012,Santiago del Estero,Estación Tacañitas,1704,129,79,2,1,1,0,9,1,1,0,0,1,0,NA,NA,0,1,4,0,0,0,2,0,4,0,NA,NA,NA,NA,NA,1,0,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1494,2012,Santiago del Estero,Estación Tacañitas,1704,129,26,5,1,1,0,9,1,1,0,1,0,0,1,0,0,1,1,0,1,0,2,0,2,1,NA,NA,NA,NA,NA,1,0,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1479,2012,Santiago del Estero,Estación Tacañitas,1704,129,20,10,1,0,0,9,1,NA,0,0,1,0,1,0,0,1,4,0,0,0,NA,NA,2,1,NA,NA,NA,NA,NA,3,1,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1488,2012,Santiago del Estero,Estación Tacañitas,1704,129,26,7,1,0,0,8,1,NA,0,0,1,0,NA,NA,0,1,4,0,0,0,2,0,2,1,NA,NA,NA,NA,NA,3,1,0,0,0,0.221238938053097,0.101199942171462,0
CHACO,LIBERTADOR GENERAL SAN MARTIN,022003,"LIBERTADOR GENERAL SAN MARTIN, 1 DE MAYO",22,1446,2012,Chaco,Pampa Almirón,1703,127,33,4,1,1,0,NA,1,0,0,0,0,1,NA,NA,0,1,1,0,1,0,2,0,2,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1482,2012,Santiago del Estero,Estación Tacañitas,1704,129,58,5,1,1,0,9,1,NA,0,0,1,0,NA,NA,NA,1,1,0,1,0,2,0,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1493,2012,Santiago del Estero,Estación Tacañitas,1704,129,67,3,1,1,1,9,1,NA,0,1,0,0,1,0,0,1,1,0,1,0,2,0,2,1,NA,NA,NA,NA,NA,1,0,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1483,2012,Santiago del Estero,Estación Tacañitas,1704,129,28,7,1,0,NA,9,1,1,0,0,1,0,NA,NA,0,1,4,0,0,0,1,0,2,1,NA,NA,NA,NA,NA,3,1,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1486,2012,Santiago del Estero,Estación Tacañitas,1704,129,18,9,1,1,0,NA,0,NA,0,0,1,0,1,0,0,1,3,0,0,1,2,0,1,0,NA,NA,NA,NA,NA,3,1,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1481,2012,Santiago del Estero,Estación Tacañitas,1704,129,23,4,1,1,0,10,1,1,0,1,0,0,1,0,0,1,1,0,1,0,2,0,2,1,NA,NA,NA,NA,NA,1,0,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1477,2012,Santiago del Estero,Estación Tacañitas,1704,129,33,7,1,0,NA,8,1,1,0,0,1,0,NA,NA,0,1,1,0,1,0,2,0,2,1,NA,NA,NA,NA,NA,3,1,0,0,0,0.221238938053097,0.101199942171462,0
SANTIAGO DEL ESTERO,GENERAL TABOADA,086007,GENERAL TABOADA,86,1491,2012,Santiago del Estero,Estación Tacañitas,1704,129,29,7,1,0,NA,10,NA,NA,0,0,0,1,NA,NA,0,1,1,0,1,0,2,0,2,1,NA,NA,NA,NA,NA,3,1,0,0,0,0.221238938053097,0.101199942171462,0
